Mon, 2022.09.05 8:00, 8:00, CHF, low, GDP q/q, 0.5%, 0.4%, 
Mon, 2022.09.05 8:15, 8:15, EUR, low, Spanish Services PMI, 53.8, 52.3, 
Mon, 2022.09.05 8:45, 8:45, EUR, low, Italian Services PMI, 48.4, 48.9, 
Mon, 2022.09.05 8:50, 8:50, EUR, low, French Final Services PMI, 51.0, 51.0, 
Mon, 2022.09.05 8:55, 8:55, EUR, low, German Final Services PMI, 48.2, 48.2, 
Mon, 2022.09.05 9:00, 9:00, EUR, low, Final Services PMI, 50.2, 50.2, 
Mon, 2022.09.05 9:30, 9:30, EUR, low, Sentix Investor Confidence, -25.2, -26.8, 
Mon, 2022.09.05 9:30, 9:30, GBP, low, Final Services PMI, 52.5, 52.5, 
Mon, 2022.09.05 10:00, 10:00, EUR, low, Retail Sales m/m, -1.2%, 0.3%, 
Mon, 2022.09.05 5:00, 5:00, All, medium, OPEC-JMMC Meetings, , , 
Mon, 2022.09.05 5:00, 5:00, CAD, holiday, Bank Holiday, , , 
Mon, 2022.09.05 5:00, 5:00, USD, holiday, Bank Holiday, , , 
Mon, 2022.09.05 16:30, 16:30, GBP, medium, MPC Member Mann Speaks, , , 
Tue, 2022.09.06 0:01, 0:01, GBP, low, BRC Retail Sales Monitor y/y, 1.6%, , 
Tue, 2022.09.06 0:30, 0:30, JPY, low, Average Cash Earnings y/y, 2.0%, 1.9%, 
Tue, 2022.09.06 0:30, 0:30, JPY, low, Household Spending y/y, 3.5%, 4.5%, 
Tue, 2022.09.06 2:30, 2:30, AUD, low, Current Account, 7.5B, 22.0B, 
Tue, 2022.09.06 4:35, 4:35, JPY, low, 30-y Bond Auction, 1.12|3.0, , 
Tue, 2022.09.06 17:30, 17:30, AUD, high, Cash Rate, 1.85%, 2.35%, 
Tue, 2022.09.06 17:30, 17:30, AUD, high, RBA Rate Statement, , , 
Tue, 2022.09.06 7:00, 7:00, EUR, low, German Factory Orders m/m, -0.4%, -0.8%, 
Tue, 2022.09.06 9:30, 9:30, GBP, low, Construction PMI, 48.9, 48.0, 
Tue, 2022.09.06 14:45, 14:45, USD, medium, Final Services PMI, 44.1, 44.3, 
Tue, 2022.09.06 15:00, 15:00, USD, high, ISM Services PMI, 56.7, 55.0, 
Tue, 2022.09.06 15:00, 15:00, NZD, low, GDT Price Index, -2.9%, , 
Tue, 2022.09.06 23:30, 23:30, AUD, low, AIG Services Index, 51.7, , 
Wed, 2022.09.07 2:30, 2:30, AUD, high, GDP q/q, 0.8%, 1.1%, 
Wed, 2022.09.07 2:30, 2:30, CNY, low, Trade Balance, 683B, 650B, 
Wed, 2022.09.07 2:30, 2:30, CNY, low, USD-Denominated Trade Balance, 101.3B, 91.8B, 
Wed, 2022.09.07 6:00, 6:00, JPY, low, Leading Indicators, 100.9%, 100.2%, 
Wed, 2022.09.07 7:00, 7:00, EUR, low, German Industrial Production m/m, 0.4%, -0.5%, 
Wed, 2022.09.07 7:00, 7:00, GBP, low, Halifax HPI m/m, -0.1%, 0.1%, 
Wed, 2022.09.07 8:00, 8:00, CHF, low, Foreign Currency Reserves, 849B, , 
Wed, 2022.09.07 9:00, 9:00, EUR, low, Italian Retail Sales m/m, -1.1%, 0.3%, 
Wed, 2022.09.07 10:00, 10:00, EUR, low, Final Employment Change q/q, 0.3%, 0.3%, 
Wed, 2022.09.07 10:00, 10:00, EUR, low, Revised GDP q/q, 0.6%, 0.6%, 
Wed, 2022.09.07 10:00, 10:00, GBP, high, Monetary Policy Report Hearings, , , 
Wed, 2022.09.07 10:00, 10:00, GBP, low, 10-y Bond Auction, 1.78|2.4, , 
Wed, 2022.09.07 13:30, 13:30, CAD, low, Trade Balance, 5.0B, 3.8B, 
Wed, 2022.09.07 13:30, 13:30, USD, low, Trade Balance, -79.6B, -70.2B, 
Wed, 2022.09.07 15:00, 15:00, CAD, high, BOC Rate Statement, , , 
Wed, 2022.09.07 15:00, 15:00, CAD, high, Overnight Rate, 2.50%, 3.25%, 
Wed, 2022.09.07 15:00, 15:00, CAD, medium, Ivey PMI, 49.6, 48.3, 
Wed, 2022.09.07 15:00, 15:00, USD, medium, FOMC Member Mester Speaks, , , 
Thu, 2022.09.08 5:35, 5:35, USD, medium, FOMC Member Brainard Speaks, , , 
Wed, 2022.09.07 19:00, 19:00, USD, low, Beige Book, , , 
Wed, 2022.09.07 19:00, 19:00, USD, low, FOMC Member Barr Speaks, , , 
Wed, 2022.09.07 23:45, 23:45, NZD, low, Manufacturing Sales q/q, 1.2%, , 
Thu, 2022.09.08 0:01, 0:01, GBP, low, RICS House Price Balance, 63%, 60%, 
Thu, 2022.09.08 0:50, 0:50, JPY, low, Bank Lending y/y, 1.8%, 1.9%, 
Thu, 2022.09.08 0:50, 0:50, JPY, low, Current Account, 0.84T, 0.02T, 
Thu, 2022.09.08 0:50, 0:50, JPY, low, Final GDP Price Index y/y, -0.4%, -0.4%, 
Thu, 2022.09.08 0:50, 0:50, JPY, low, Final GDP q/q, 0.5%, 0.7%, 
Thu, 2022.09.08 2:30, 2:30, AUD, low, Trade Balance, 17.67B, 14.50B, 
Thu, 2022.09.08 4:05, 4:05, AUD, high, RBA Gov Lowe Speaks, , , 
Thu, 2022.09.08 6:00, 6:00, JPY, low, Economy Watchers Sentiment, 43.8, 43.7, 
Thu, 2022.09.08 6:30, 6:30, EUR, low, French Final Private Payrolls q/q, 0.5%, 0.5%, 
Thu, 2022.09.08 6:45, 6:45, CHF, low, Unemployment Rate, 2.2%, 2.2%, 
Thu, 2022.09.08 7:45, 7:45, EUR, low, French Trade Balance, -13.1B, -13.0B, 
Thu, 2022.09.08 7:45, 7:45, CNY, low, M2 Money Supply y/y, 12.0%, 12.3%, 
Thu, 2022.09.08 7:45, 7:45, CNY, low, New Loans, 679B, 1500B, 
Thu, 2022.09.08 13:15, 13:15, EUR, high, Main Refinancing Rate, 0.50%, 1.25%, 
Thu, 2022.09.08 13:15, 13:15, EUR, high, Monetary Policy Statement, , , 
Thu, 2022.09.08 13:30, 13:30, USD, medium, Unemployment Claims, 232K, 240K, 
Thu, 2022.09.08 13:45, 13:45, EUR, high, ECB Press Conference, , , 
Thu, 2022.09.08 14:10, 14:10, USD, high, Fed Chair Powell Speaks, , , 
Thu, 2022.09.08 15:30, 15:30, USD, low, Natural Gas Storage, 61B, , 
Thu, 2022.09.08 16:00, 16:00, USD, low, Crude Oil Inventories, -3.3M, , 
Thu, 2022.09.08 16:25, 16:25, CAD, low, Gov Council Member Rogers Speaks, , , 
Thu, 2022.09.08 20:00, 20:00, USD, low, Consumer Credit m/m, 40.2B, 31.0B, 
Fri, 2022.09.09 0:50, 0:50, JPY, low, M2 Money Stock y/y, 3.4%, 3.4%, 
Fri, 2022.09.09 2:30, 2:30, CNY, low, CPI y/y, 2.7%, 2.8%, 
Fri, 2022.09.09 2:30, 2:30, CNY, low, PPI y/y, 4.2%, 3.2%, 
Fri, 2022.09.09 7:45, 7:45, EUR, low, French Industrial Production m/m, 1.4%, -0.4%, 
Fri, 2022.09.09 9:30, 9:30, GBP, low, Consumer Inflation Expectations, 4.6%, , 
Fri, 2022.09.09 5:00, 5:00, EUR, medium, EU Economic Summit, , , 
Fri, 2022.09.09 5:00, 5:00, EUR, low, Eurogroup Meetings, , , 
Fri, 2022.09.09 13:30, 13:30, CAD, high, Employment Change, -30.6K, 15.0K, 
Fri, 2022.09.09 13:30, 13:30, CAD, high, Unemployment Rate, 4.9%, 5.0%, 
Fri, 2022.09.09 13:30, 13:30, CAD, low, Capacity Utilization Rate, 82.0%, , 
Fri, 2022.09.09 15:00, 15:00, USD, low, Final Wholesale Inventories m/m, 0.8%, 0.8%, 
Sat, 2022.09.10 5:00, 5:00, USD, medium, FOMC Member George Speaks, , , 
Sat, 2022.09.10 5:00, 5:00, USD, medium, FOMC Member Waller Speaks, , , 
Mon, 2022.09.12 7:00, 7:00, EUR, low, German WPI m/m, , , 
Mon, 2022.09.12 7:00, 7:00, GBP, medium, GDP m/m, , , 
Mon, 2022.09.12 7:00, 7:00, GBP, low, Construction Output m/m, , , 
Mon, 2022.09.12 7:00, 7:00, GBP, low, Goods Trade Balance, , , 
Mon, 2022.09.12 7:00, 7:00, GBP, low, Index of Services 3m/3m, , , 
Mon, 2022.09.12 7:00, 7:00, GBP, low, Industrial Production m/m, , , 
Mon, 2022.09.12 7:00, 7:00, GBP, low, Manufacturing Production m/m, , , 
Mon, 2022.09.12 7:00, 7:00, JPY, low, Prelim Machine Tool Orders y/y, , , 
Mon, 2022.09.12 7:00, 7:00, CNY, low, Foreign Direct Investment ytd/y, , , 
Mon, 2022.09.12 9:00, 9:00, EUR, low, Italian Industrial Production m/m, , , 
Mon, 2022.09.12 9:00, 9:00, EUR, low, Italian Quarterly Unemployment Rate, , , 
Mon, 2022.09.12 9:00, 9:00, GBP, low, NIESR GDP Estimate, , , 
Mon, 2022.09.12 18:01, 18:01, USD, low, 10-y Bond Auction, , , 
Mon, 2022.09.12 23:45, 23:45, NZD, low, FPI m/m, , , 
Tue, 2022.09.13 0:50, 0:50, JPY, low, BSI Manufacturing Index, , , 
Tue, 2022.09.13 0:50, 0:50, JPY, low, Core Machinery Orders m/m, , , 
Tue, 2022.09.13 2:30, 2:30, AUD, medium, NAB Business Confidence, , , 
Tue, 2022.09.13 7:00, 7:00, EUR, low, German Final CPI m/m, , , 
Tue, 2022.09.13 7:00, 7:00, GBP, low, Average Earnings Index 3m/y, , , 
Tue, 2022.09.13 7:00, 7:00, GBP, low, Claimant Count Change, , , 
Tue, 2022.09.13 7:00, 7:00, GBP, low, Unemployment Rate, , , 
Tue, 2022.09.13 7:45, 7:45, EUR, low, French Final CPI m/m, , , 
Tue, 2022.09.13 11:00, 11:00, USD, low, NFIB Small Business Index, , , 
Tue, 2022.09.13 11:00, 11:00, EUR, low, German Buba Monthly Report, , , 
Tue, 2022.09.13 5:00, 5:00, EUR, low, ECOFIN Meetings, , , 
Tue, 2022.09.13 5:00, 5:00, EUR, low, German 30-y Bond Auction, , , 
Tue, 2022.09.13 13:30, 13:30, USD, high, CPI m/m, , , 
Tue, 2022.09.13 13:30, 13:30, USD, high, Core CPI m/m, , , 
Tue, 2022.09.13 13:30, 13:30, USD, low, IBD/TIPP Economic Optimism, , , 
Tue, 2022.09.13 18:01, 18:01, USD, low, 30-y Bond Auction, , , 
Tue, 2022.09.13 19:00, 19:00, USD, low, Federal Budget Balance, , , 
Tue, 2022.09.13 23:45, 23:45, NZD, low, Current Account, , , 
Wed, 2022.09.14 1:30, 1:30, AUD, low, Westpac Consumer Sentiment, , , 
Wed, 2022.09.14 17:30, 17:30, JPY, low, Revised Industrial Production m/m, , , 
Wed, 2022.09.14 7:00, 7:00, GBP, high, CPI y/y, , , 
Wed, 2022.09.14 7:00, 7:00, GBP, low, Core CPI y/y, , , 
Wed, 2022.09.14 7:00, 7:00, GBP, low, PPI Input m/m, , , 
Wed, 2022.09.14 7:00, 7:00, GBP, low, PPI Output m/m, , , 
Wed, 2022.09.14 7:00, 7:00, GBP, low, RPI y/y, , , 
Wed, 2022.09.14 7:30, 7:30, CHF, low, PPI m/m, , , 
Wed, 2022.09.14 9:00, 9:00, EUR, low, Italian Trade Balance, , , 
Wed, 2022.09.14 9:30, 9:30, GBP, low, HPI y/y, , , 
Wed, 2022.09.14 10:00, 10:00, EUR, low, Industrial Production m/m, , , 
Wed, 2022.09.14 13:30, 13:30, CAD, low, Manufacturing Sales m/m, , , 
Wed, 2022.09.14 13:30, 13:30, USD, high, PPI m/m, , , 
Wed, 2022.09.14 13:30, 13:30, USD, medium, Core PPI m/m, , , 
Wed, 2022.09.14 15:30, 15:30, USD, low, Crude Oil Inventories, , , 
Wed, 2022.09.14 23:45, 23:45, NZD, medium, GDP q/q, , , 
Thu, 2022.09.15 0:50, 0:50, JPY, low, Trade Balance, , , 
Thu, 2022.09.15 2:00, 2:00, AUD, low, MI Inflation Expectations, , , 
Thu, 2022.09.15 2:30, 2:30, AUD, high, Employment Change, , , 
Thu, 2022.09.15 2:30, 2:30, AUD, high, Unemployment Rate, , , 
Thu, 2022.09.15 2:30, 2:30, AUD, low, RBA Bulletin, , , 
Thu, 2022.09.15 17:30, 17:30, JPY, low, Tertiary Industry Activity m/m, , , 
Thu, 2022.09.15 10:00, 10:00, EUR, low, Trade Balance, , , 
Thu, 2022.09.15 10:00, 10:00, EUR, low, ZEW Economic Sentiment, , , 
Thu, 2022.09.15 10:00, 10:00, EUR, low, German ZEW Economic Sentiment, , , 
Thu, 2022.09.15 12:00, 12:00, GBP, high, MPC Official Bank Rate Votes, , , 
Thu, 2022.09.15 12:00, 12:00, GBP, high, Monetary Policy Summary, , , 
Thu, 2022.09.15 12:00, 12:00, GBP, high, Official Bank Rate, , , 
Thu, 2022.09.15 13:30, 13:30, USD, high, Core Retail Sales m/m, , , 
Thu, 2022.09.15 13:30, 13:30, USD, high, Empire State Manufacturing Index, , , 
Thu, 2022.09.15 13:30, 13:30, USD, high, Retail Sales m/m, , , 
Thu, 2022.09.15 13:30, 13:30, USD, medium, Philly Fed Manufacturing Index, , , 
Thu, 2022.09.15 13:30, 13:30, USD, medium, Unemployment Claims, , , 
Thu, 2022.09.15 13:30, 13:30, USD, low, Import Prices m/m, , , 
Thu, 2022.09.15 14:15, 14:15, USD, low, Capacity Utilization Rate, , , 
Thu, 2022.09.15 14:15, 14:15, USD, low, Industrial Production m/m, , , 
Thu, 2022.09.15 15:00, 15:00, USD, low, Business Inventories m/m, , , 
Thu, 2022.09.15 15:30, 15:30, USD, low, Natural Gas Storage, , , 
Thu, 2022.09.15 23:30, 23:30, NZD, low, BusinessNZ Manufacturing Index, , , 
Fri, 2022.09.16 3:00, 3:00, CNY, medium, Retail Sales y/y, , , 
Fri, 2022.09.16 3:00, 3:00, CNY, low, Fixed Asset Investment ytd/y, , , 
Fri, 2022.09.16 3:00, 3:00, CNY, low, Industrial Production y/y, , , 
Fri, 2022.09.16 3:00, 3:00, CNY, low, NBS Press Conference, , , 
Fri, 2022.09.16 3:00, 3:00, CNY, low, Unemployment Rate, , , 
Fri, 2022.09.16 10:00, 10:00, EUR, low, Final CPI y/y, , , 
Fri, 2022.09.16 10:00, 10:00, EUR, low, Final Core CPI y/y, , , 
Fri, 2022.09.16 13:15, 13:15, CAD, low, Housing Starts, , , 
Fri, 2022.09.16 13:30, 13:30, CAD, low, Foreign Securities Purchases, , , 
Fri, 2022.09.16 13:30, 13:30, CAD, low, Wholesale Sales m/m, , , 
Fri, 2022.09.16 15:00, 15:00, USD, high, Prelim UoM Consumer Sentiment, , , 
Fri, 2022.09.16 15:00, 15:00, USD, low, Prelim UoM Inflation Expectations, , , 
Fri, 2022.09.16 21:00, 21:00, USD, low, TIC Long-Term Purchases, , , 
Mon, 2022.09.19 7:00, 7:00, GBP, medium, Retail Sales m/m, , , 
Mon, 2022.09.19 13:30, 13:30, CAD, low, IPPI m/m, , , 
Mon, 2022.09.19 13:30, 13:30, CAD, low, RMPI m/m, , , 
Mon, 2022.09.19 15:00, 15:00, USD, low, NAHB Housing Market Index, , , 
Mon, 2022.09.19 22:00, 22:00, NZD, low, Westpac Consumer Sentiment, , , 
Tue, 2022.09.20 0:30, 0:30, JPY, low, National Core CPI y/y, , , 
Tue, 2022.09.20 1:30, 1:30, JPY, low, Flash Manufacturing PMI, , , 
Tue, 2022.09.20 2:30, 2:30, AUD, high, Monetary Policy Meeting Minutes, , , 
Tue, 2022.09.20 7:00, 7:00, CHF, low, SECO Economic Forecasts, , , 
Tue, 2022.09.20 7:00, 7:00, EUR, low, German PPI m/m, , , 
Tue, 2022.09.20 8:15, 8:15, EUR, high, French Flash Services PMI, , , 
Tue, 2022.09.20 8:15, 8:15, EUR, low, French Flash Manufacturing PMI, , , 
Tue, 2022.09.20 8:30, 8:30, EUR, high, German Flash Manufacturing PMI, , , 
Tue, 2022.09.20 8:30, 8:30, EUR, high, German Flash Services PMI, , , 
Tue, 2022.09.20 9:00, 9:00, EUR, low, Current Account, , , 
Tue, 2022.09.20 9:00, 9:00, EUR, low, Flash Manufacturing PMI, , , 
Tue, 2022.09.20 9:00, 9:00, EUR, low, Flash Services PMI, , , 
Tue, 2022.09.20 9:30, 9:30, GBP, high, Flash Manufacturing PMI, , , 
Tue, 2022.09.20 9:30, 9:30, GBP, high, Flash Services PMI, , , 
Tue, 2022.09.20 11:00, 11:00, GBP, low, CBI Industrial Order Expectations, , , 
Tue, 2022.09.20 11:00, 11:00, GBP, low, 30-y Bond Auction, , , 
Tue, 2022.09.20 13:30, 13:30, CAD, high, CPI m/m, , , 
Tue, 2022.09.20 13:30, 13:30, CAD, medium, Common CPI y/y, , , 
Tue, 2022.09.20 13:30, 13:30, CAD, medium, Median CPI y/y, , , 
Tue, 2022.09.20 13:30, 13:30, CAD, medium, Trimmed CPI y/y, , , 
Tue, 2022.09.20 13:30, 13:30, CAD, low, Core CPI m/m, , , 
Tue, 2022.09.20 13:30, 13:30, CAD, low, NHPI m/m, , , 
Tue, 2022.09.20 13:30, 13:30, USD, low, Building Permits, , , 
Tue, 2022.09.20 13:30, 13:30, USD, low, Housing Starts, , , 
Tue, 2022.09.20 13:30, 13:30, NZD, low, GDT Price Index, , , 
Wed, 2022.09.21 1:30, 1:30, AUD, low, MI Leading Index m/m, , , 
Wed, 2022.09.21 4:00, 4:00, NZD, low, Credit Card Spending y/y, , , 
Wed, 2022.09.21 7:00, 7:00, GBP, low, Public Sector Net Borrowing, , , 
Wed, 2022.09.21 9:00, 9:00, CHF, low, Credit Suisse Economic Expectations, , , 
Wed, 2022.09.21 9:00, 9:00, EUR, medium, German ifo Business Climate, , , 
Wed, 2022.09.21 9:00, 9:00, EUR, low, German 10-y Bond Auction, , , 
Wed, 2022.09.21 15:00, 15:00, USD, medium, Existing Home Sales, , , 
Wed, 2022.09.21 15:30, 15:30, AUD, low, CB Leading Index m/m, , , 
Wed, 2022.09.21 15:30, 15:30, USD, low, Crude Oil Inventories, , , 
Wed, 2022.09.21 19:00, 19:00, USD, high, FOMC Economic Projections, , , 
Wed, 2022.09.21 19:00, 19:00, USD, high, FOMC Statement, , , 
Wed, 2022.09.21 19:00, 19:00, USD, high, Federal Funds Rate, , , 
Wed, 2022.09.21 19:30, 19:30, USD, high, FOMC Press Conference, , , 
Wed, 2022.09.21 22:45, 22:45, NZD, low, Trade Balance, , , 
Wed, 2022.09.21 22:45, 22:45, JPY, high, Monetary Policy Statement, , , 
Wed, 2022.09.21 22:45, 22:45, JPY, low, BOJ Policy Rate, , , 
Thu, 2022.09.22 7:00, 7:00, CHF, low, Trade Balance, , , 
Thu, 2022.09.22 7:00, 7:00, JPY, high, BOJ Press Conference, , , 
Thu, 2022.09.22 8:00, 8:00, CHF, low, KOF Economic Barometer, , , 
Thu, 2022.09.22 8:30, 8:30, CHF, high, SNB Monetary Policy Assessment, , , 
Thu, 2022.09.22 8:30, 8:30, CHF, high, SNB Policy Rate, , , 
Thu, 2022.09.22 9:00, 9:00, EUR, low, ECB Economic Bulletin, , , 
Thu, 2022.09.22 9:30, 9:30, CHF, high, SNB Press Conference, , , 
Thu, 2022.09.22 11:00, 11:00, GBP, low, CBI Realized Sales, , , 
Thu, 2022.09.22 13:30, 13:30, USD, medium, Unemployment Claims, , , 
Thu, 2022.09.22 13:30, 13:30, USD, low, Current Account, , , 
Thu, 2022.09.22 15:00, 15:00, EUR, low, Consumer Confidence, , , 
Thu, 2022.09.22 15:00, 15:00, USD, low, CB Leading Index m/m, , , 
Thu, 2022.09.22 15:30, 15:30, USD, low, Natural Gas Storage, , , 
Fri, 2022.09.23 0:00, 0:00, AUD, low, Flash Manufacturing PMI, , , 
Fri, 2022.09.23 0:00, 0:00, AUD, low, Flash Services PMI, , , 
Fri, 2022.09.23 0:01, 0:01, GBP, low, GfK Consumer Confidence, , , 
Fri, 2022.09.23 0:50, 0:50, JPY, low, SPPI y/y, , , 
Thu, 2022.09.22 5:00, 5:00, JPY, holiday, Bank Holiday, , , 
Fri, 2022.09.23 13:30, 13:30, CAD, medium, Core Retail Sales m/m, , , 
Fri, 2022.09.23 13:30, 13:30, CAD, medium, Retail Sales m/m, , , 
Fri, 2022.09.23 14:45, 14:45, USD, high, Flash Services PMI, , , 
Fri, 2022.09.23 14:45, 14:45, USD, medium, Flash Manufacturing PMI, , , 
Mon, 2022.09.26 10:00, 10:00, EUR, low, German Import Prices m/m, , , 
Mon, 2022.09.26 14:00, 14:00, EUR, low, Belgian NBB Business Climate, , , 
Tue, 2022.09.27 7:00, 7:00, EUR, low, German Retail Sales m/m, , , 
Tue, 2022.09.27 13:30, 13:30, USD, medium, Core Durable Goods Orders m/m, , , 
Tue, 2022.09.27 13:30, 13:30, USD, medium, Durable Goods Orders m/m, , , 
Tue, 2022.09.27 14:00, 14:00, USD, low, HPI m/m, , , 
Tue, 2022.09.27 14:00, 14:00, USD, low, S&P/CS Composite-20 HPI y/y, , , 
Tue, 2022.09.27 15:00, 15:00, USD, high, CB Consumer Confidence, , , 
Tue, 2022.09.27 15:00, 15:00, USD, medium, New Home Sales, , , 
Tue, 2022.09.27 15:00, 15:00, USD, medium, Richmond Manufacturing Index, , , 
Wed, 2022.09.28 0:01, 0:01, GBP, low, BRC Shop Price Index y/y, , , 
Wed, 2022.09.28 0:50, 0:50, JPY, low, Monetary Policy Meeting Minutes, , , 
Wed, 2022.09.28 2:30, 2:30, AUD, low, Retail Sales m/m, , , 
Wed, 2022.09.28 6:00, 6:00, JPY, low, BOJ Core CPI y/y, , , 
Wed, 2022.09.28 7:00, 7:00, EUR, low, German GfK Consumer Climate, , , 
Wed, 2022.09.28 7:00, 7:00, EUR, low, Italian 10-y Bond Auction, , , 
Wed, 2022.09.28 13:30, 13:30, USD, low, Goods Trade Balance, , , 
Wed, 2022.09.28 13:30, 13:30, USD, low, Prelim Wholesale Inventories m/m, , , 
Wed, 2022.09.28 14:00, 14:00, CHF, low, SNB Quarterly Bulletin, , , 
Wed, 2022.09.28 15:00, 15:00, USD, medium, Pending Home Sales m/m, , , 
Wed, 2022.09.28 15:30, 15:30, USD, low, Crude Oil Inventories, , , 
Thu, 2022.09.29 0:50, 0:50, JPY, low, Retail Sales y/y, , , 
Thu, 2022.09.29 2:00, 2:00, NZD, low, ANZ Business Confidence, , , 
Thu, 2022.09.29 6:00, 6:00, JPY, low, Housing Starts y/y, , , 
Thu, 2022.09.29 7:00, 7:00, GBP, low, Nationwide HPI m/m, , , 
Thu, 2022.09.29 7:45, 7:45, EUR, low, French Consumer Spending m/m, , , 
Thu, 2022.09.29 7:45, 7:45, EUR, low, French Prelim CPI m/m, , , 
Thu, 2022.09.29 8:00, 8:00, EUR, low, Spanish Flash CPI y/y, , , 
Thu, 2022.09.29 9:00, 9:00, EUR, low, M3 Money Supply y/y, , , 
Thu, 2022.09.29 9:00, 9:00, EUR, low, Italian Monthly Unemployment Rate, , , 
Thu, 2022.09.29 9:00, 9:00, EUR, low, Private Loans y/y, , , 
Thu, 2022.09.29 9:30, 9:30, GBP, low, M4 Money Supply m/m, , , 
Thu, 2022.09.29 9:30, 9:30, GBP, low, Mortgage Approvals, , , 
Thu, 2022.09.29 9:30, 9:30, GBP, low, Net Lending to Individuals m/m, , , 
Thu, 2022.09.29 10:00, 10:00, EUR, low, Italian Prelim CPI m/m, , , 
Thu, 2022.09.29 13:30, 13:30, CAD, medium, GDP m/m, , , 
Thu, 2022.09.29 13:30, 13:30, USD, medium, Final GDP q/q, , , 
Thu, 2022.09.29 13:30, 13:30, USD, medium, Unemployment Claims, , , 
Thu, 2022.09.29 13:30, 13:30, USD, low, Final GDP Price Index q/q, , , 
Thu, 2022.09.29 15:30, 15:30, USD, low, Natural Gas Storage, , , 
Thu, 2022.09.29 22:45, 22:45, NZD, low, Building Consents m/m, , , 
Fri, 2022.09.30 0:30, 0:30, JPY, low, Unemployment Rate, , , 
Fri, 2022.09.30 0:50, 0:50, JPY, low, Prelim Industrial Production m/m, , , 
Fri, 2022.09.30 0:50, 0:50, JPY, low, Tankan Manufacturing Index, , , 
Fri, 2022.09.30 0:50, 0:50, JPY, low, Tankan Non-Manufacturing Index, , , 
